id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,2024-12-19 17:59:00,10h 16m,2024-12-20 04:15:00,3.0,512.00,27
2,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 544,Ordinary 3+2 Non AC Seater,2024-12-19 19:10:00,10h 05m,2024-12-20 05:15:00,4.2,512.00,37
3,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,2024-12-19 19:35:00,09h 15m,2024-12-20 04:50:00,4.6,912.00,9
4,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,2024-12-19 19:43:00,09h 47m,2024-12-20 05:30:00,3.6,512.00,27
5,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),2024-12-19 21:00:00,10h 20m,2024-12-20 07:20:00,3.5,632.00,28
6,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,2024-12-19 21:02:00,09h 28m,2024-12-20 06:30:00,4.4,912.00,2
7,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,2024-12-19 21:25:00,09h 20m,2024-12-20 06:45:00,3.8,512.00,32
8,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,2024-12-19 22:00:00,09h 30m,2024-12-20 07:30:00,4.2,912.00,2
9,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,2024-12-19 22:30:00,09h 45m,2024-12-20 08:15:00,4.4,512.00,26
10,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,2024-12-19 23:40:00,09h 25m,2024-12-20 09:05:00,4.0,512.00,25
