id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 69,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 00:40,08h 50m,06-08-2024 09:30,4.6,892,35
2,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 2100720,Ordinary 3+2 Non AC Seater,06-08-2024 05:00,09h 50m,06-08-2024 14:50,4.2,507,37
3,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 06:45,09h 25m,06-08-2024 16:10,4.6,892,34
4,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 592,A/C Executive (2+3),06-08-2024 08:05,10h 05m,06-08-2024 18:10,2.5,622,42
5,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 129,Ordinary 3+2 Non AC Seater,06-08-2024 08:50,09h 50m,06-08-2024 18:40,2.5,507,37
6,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 09:25,09h 05m,06-08-2024 18:30,4.6,892,34
7,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 657,Ordinary 3+2 Non AC Seater,06-08-2024 11:00,11h 00m,06-08-2024 22:00,2.7,507,33
8,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 515,Ordinary 3+2 Non AC Seater,06-08-2024 12:30,10h 20m,06-08-2024 22:50,4.2,507,35
9,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 551,A/C Executive (2+3),06-08-2024 15:30,10h 00m,07-08-2024 01:30,3.5,622,42
10,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,06-08-2024 16:50,10h 10m,07-08-2024 03:00,4.2,512,19
11,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,06-08-2024 17:59,10h 16m,07-08-2024 04:15,2,512,27
12,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 538,Ordinary 3+2 Non AC Seater,06-08-2024 18:31,10h 59m,07-08-2024 05:30,4,507,35
13,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 19:35,09h 10m,07-08-2024 04:45,3.8,892,29
14,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,06-08-2024 19:43,09h 47m,07-08-2024 05:30,4.2,507,27
15,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,06-08-2024 20:10,09h 35m,07-08-2024 05:45,4.5,507,27
16,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),06-08-2024 21:00,11h 15m,07-08-2024 08:15,4.1,622,42
17,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 21:02,09h 28m,07-08-2024 06:30,4.4,892,27
18,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,06-08-2024 21:25,09h 20m,07-08-2024 06:45,3.6,507,37
19,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 21:36,07h 54m,07-08-2024 05:30,3.9,867,30
20,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,06-08-2024 21:58,09h 17m,07-08-2024 07:15,3.4,507,27
21,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 22:00,09h 30m,07-08-2024 07:30,4.6,892,33
22,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,06-08-2024 22:30,09h 45m,07-08-2024 08:15,4.1,507,27
23,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 22:30,08h 00m,07-08-2024 06:30,4.1,867,24
24,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,06-08-2024 23:00,08h 50m,07-08-2024 07:50,4.3,892,34
25,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,06-08-2024 23:40,09h 25m,07-08-2024 09:05,4.7,507,37
